,login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin
0,topfunky,26,MDQ6VXNlcjI2,https://avatars.githubusercontent.com/u/26?v=4,,https://api.github.com/users/topfunky,https://github.com/topfunky,https://api.github.com/users/topfunky/followers,https://api.github.com/users/topfunky/following{/other_user},https://api.github.com/users/topfunky/gists{/gist_id},https://api.github.com/users/topfunky/starred{/owner}{/repo},https://api.github.com/users/topfunky/subscriptions,https://api.github.com/users/topfunky/orgs,https://api.github.com/users/topfunky/repos,https://api.github.com/users/topfunky/events{/privacy},https://api.github.com/users/topfunky/received_events,User,public,False
1,brixen,85,MDQ6VXNlcjg1,https://avatars.githubusercontent.com/u/85?v=4,,https://api.github.com/users/brixen,https://github.com/brixen,https://api.github.com/users/brixen/followers,https://api.github.com/users/brixen/following{/other_user},https://api.github.com/users/brixen/gists{/gist_id},https://api.github.com/users/brixen/starred{/owner}{/repo},https://api.github.com/users/brixen/subscriptions,https://api.github.com/users/brixen/orgs,https://api.github.com/users/brixen/repos,https://api.github.com/users/brixen/events{/privacy},https://api.github.com/users/brixen/received_events,User,public,False
2,ELLIOTTCABLE,200,MDQ6VXNlcjIwMA==,https://avatars.githubusercontent.com/u/200?v=4,,https://api.github.com/users/ELLIOTTCABLE,https://github.com/ELLIOTTCABLE,https://api.github.com/users/ELLIOTTCABLE/followers,https://api.github.com/users/ELLIOTTCABLE/following{/other_user},https://api.github.com/users/ELLIOTTCABLE/gists{/gist_id},https://api.github.com/users/ELLIOTTCABLE/starred{/owner}{/repo},https://api.github.com/users/ELLIOTTCABLE/subscriptions,https://api.github.com/users/ELLIOTTCABLE/orgs,https://api.github.com/users/ELLIOTTCABLE/repos,https://api.github.com/users/ELLIOTTCABLE/events{/privacy},https://api.github.com/users/ELLIOTTCABLE/received_events,User,public,False
3,vic,331,MDQ6VXNlcjMzMQ==,https://avatars.githubusercontent.com/u/331?v=4,,https://api.github.com/users/vic,https://github.com/vic,https://api.github.com/users/vic/followers,https://api.github.com/users/vic/following{/other_user},https://api.github.com/users/vic/gists{/gist_id},https://api.github.com/users/vic/starred{/owner}{/repo},https://api.github.com/users/vic/subscriptions,https://api.github.com/users/vic/orgs,https://api.github.com/users/vic/repos,https://api.github.com/users/vic/events{/privacy},https://api.github.com/users/vic/received_events,User,public,False
4,brainopia,386,MDQ6VXNlcjM4Ng==,https://avatars.githubusercontent.com/u/386?v=4,,https://api.github.com/users/brainopia,https://github.com/brainopia,https://api.github.com/users/brainopia/followers,https://api.github.com/users/brainopia/following{/other_user},https://api.github.com/users/brainopia/gists{/gist_id},https://api.github.com/users/brainopia/starred{/owner}{/repo},https://api.github.com/users/brainopia/subscriptions,https://api.github.com/users/brainopia/orgs,https://api.github.com/users/brainopia/repos,https://api.github.com/users/brainopia/events{/privacy},https://api.github.com/users/brainopia/received_events,User,public,False
5,rozza,420,MDQ6VXNlcjQyMA==,https://avatars.githubusercontent.com/u/420?v=4,,https://api.github.com/users/rozza,https://github.com/rozza,https://api.github.com/users/rozza/followers,https://api.github.com/users/rozza/following{/other_user},https://api.github.com/users/rozza/gists{/gist_id},https://api.github.com/users/rozza/starred{/owner}{/repo},https://api.github.com/users/rozza/subscriptions,https://api.github.com/users/rozza/orgs,https://api.github.com/users/rozza/repos,https://api.github.com/users/rozza/events{/privacy},https://api.github.com/users/rozza/received_events,User,public,False
6,yrashk,452,MDQ6VXNlcjQ1Mg==,https://avatars.githubusercontent.com/u/452?v=4,,https://api.github.com/users/yrashk,https://github.com/yrashk,https://api.github.com/users/yrashk/followers,https://api.github.com/users/yrashk/following{/other_user},https://api.github.com/users/yrashk/gists{/gist_id},https://api.github.com/users/yrashk/starred{/owner}{/repo},https://api.github.com/users/yrashk/subscriptions,https://api.github.com/users/yrashk/orgs,https://api.github.com/users/yrashk/repos,https://api.github.com/users/yrashk/events{/privacy},https://api.github.com/users/yrashk/received_events,User,public,False
7,auser,529,MDQ6VXNlcjUyOQ==,https://avatars.githubusercontent.com/u/529?v=4,,https://api.github.com/users/auser,https://github.com/auser,https://api.github.com/users/auser/followers,https://api.github.com/users/auser/following{/other_user},https://api.github.com/users/auser/gists{/gist_id},https://api.github.com/users/auser/starred{/owner}{/repo},https://api.github.com/users/auser/subscriptions,https://api.github.com/users/auser/orgs,https://api.github.com/users/auser/repos,https://api.github.com/users/auser/events{/privacy},https://api.github.com/users/auser/received_events,User,public,False
8,lilyball,714,MDQ6VXNlcjcxNA==,https://avatars.githubusercontent.com/u/714?v=4,,https://api.github.com/users/lilyball,https://github.com/lilyball,https://api.github.com/users/lilyball/followers,https://api.github.com/users/lilyball/following{/other_user},https://api.github.com/users/lilyball/gists{/gist_id},https://api.github.com/users/lilyball/starred{/owner}{/repo},https://api.github.com/users/lilyball/subscriptions,https://api.github.com/users/lilyball/orgs,https://api.github.com/users/lilyball/repos,https://api.github.com/users/lilyball/events{/privacy},https://api.github.com/users/lilyball/received_events,User,public,False
9,peburrows,778,MDQ6VXNlcjc3OA==,https://avatars.githubusercontent.com/u/778?v=4,,https://api.github.com/users/peburrows,https://github.com/peburrows,https://api.github.com/users/peburrows/followers,https://api.github.com/users/peburrows/following{/other_user},https://api.github.com/users/peburrows/gists{/gist_id},https://api.github.com/users/peburrows/starred{/owner}{/repo},https://api.github.com/users/peburrows/subscriptions,https://api.github.com/users/peburrows/orgs,https://api.github.com/users/peburrows/repos,https://api.github.com/users/peburrows/events{/privacy},https://api.github.com/users/peburrows/received_events,User,public,False
